date,year,month,station,pollutant,daily_avg,daily_min,daily_max,daily_median,daily_std,records_count
2009-12-06,2009,12,Centenario,CO,0.5267,0.36,0.9,0.45,0.1679,24
2009-12-06,2009,12,Centenario,NO2,16.125,9.0,26.0,15.5,5.2113,24
2009-12-06,2009,12,Córdoba,NO2,27.7917,21.0,35.0,27.0,4.4034,24
2009-12-06,2009,12,La Boca,NO2,14.5417,7.0,20.0,13.5,3.9229,24
2009-12-06,2009,12,Palermo,CO,0.9196,0.79,1.25,0.86,0.1328,24
2009-12-07,2009,12,Centenario,CO,0.5108,0.36,0.61,0.54,0.0813,24
2009-12-07,2009,12,Centenario,NO2,22.3333,17.0,28.0,22.0,3.074,24
2009-12-07,2009,12,Córdoba,NO2,39.1667,21.0,52.0,40.5,9.3001,24
2009-12-07,2009,12,La Boca,NO2,19.125,14.0,23.0,19.0,2.542,24
2009-12-07,2009,12,Palermo,CO,1.0125,0.84,1.23,1.005,0.1526,24
2009-12-08,2009,12,Centenario,CO,0.4325,0.33,0.59,0.42,0.0767,24
2009-12-08,2009,12,Centenario,NO2,14.2083,7.0,23.0,14.5,4.2322,24
2009-12-08,2009,12,Córdoba,NO2,21.125,15.0,27.0,20.5,3.8483,24
2009-12-08,2009,12,La Boca,NO2,12.2917,8.0,21.0,12.0,3.3294,24
2009-12-08,2009,12,Palermo,CO,1.0275,0.94,1.13,1.02,0.0646,24
2009-12-09,2009,12,Centenario,CO,0.5175,0.38,0.69,0.51,0.0999,24
2009-12-09,2009,12,Centenario,NO2,19.95,6.0,40.0,18.0,9.5558,20
2009-12-09,2009,12,Córdoba,NO2,24.5833,13.0,39.0,25.0,7.2826,24
2009-12-09,2009,12,La Boca,NO2,19.0,7.0,30.0,19.0,5.9855,24
2009-12-09,2009,12,Palermo,CO,1.385,0.93,2.06,1.325,0.4362,24
2009-12-10,2009,12,Centenario,CO,0.6488,0.43,0.85,0.66,0.1469,24
2009-12-10,2009,12,Centenario,NO2,26.9167,10.0,45.0,26.0,11.2053,24
2009-12-10,2009,12,Córdoba,NO2,29.95,12.0,56.0,32.0,11.9273,20
2009-12-10,2009,12,La Boca,NO2,25.4583,10.0,42.0,25.5,7.6328,24
